timestamp,water
2021-05-24 07:14:26,0.755
2021-05-24 07:29:58,0.782
2021-05-24 07:44:56,0.808
2021-05-24 07:59:29,0.834
2021-05-24 08:14:56,0.86
2021-05-24 08:29:37,0.884
2021-05-24 08:44:38,0.908
2021-05-24 08:59:38,0.934
2021-05-24 09:14:55,0.962
2021-05-24 09:29:25,0.987
2021-05-24 09:44:56,1.012
2021-05-24 09:59:27,1.038
2021-05-24 10:14:25,1.064
2021-05-24 10:15:00,1.065
2021-05-24 10:29:26,1.091
2021-05-24 10:30:01,1.092
2021-05-24 10:44:58,1.119
2021-05-24 10:59:55,1.146
2021-05-24 11:14:34,1.171
2021-05-24 11:29:55,1.198
2021-05-24 11:44:54,1.225
2021-05-24 11:59:28,1.25
2021-05-24 12:14:38,1.276
2021-05-24 12:28:54,1.301
2021-05-24 12:30:00,1.303
2021-05-24 12:44:37,1.328
2021-05-24 12:59:58,1.355
2021-05-24 13:14:26,1.381
2021-05-24 13:29:37,1.407
2021-05-24 13:44:24,1.432
2021-05-24 13:59:35,1.459
2021-05-24 14:14:36,1.485
2021-05-24 14:28:55,1.51
2021-05-24 14:29:27,1.511
2021-05-24 14:44:28,1.536
2021-05-24 14:59:59,1.562
2021-05-24 15:14:58,1.589
2021-05-24 15:29:56,1.614
2021-05-24 15:44:34,1.639
2021-05-24 15:59:32,1.665
2021-05-24 16:00:01,1.665
2021-05-24 16:00:35,1.666
2021-05-24 16:29:46,1.715
2021-05-24 16:29:47,1.715
2021-05-24 16:43:45,1.738
2021-05-24 17:09:04,1.783
2021-05-24 17:28:12,1.816
2021-05-24 17:28:13,1.816
2021-05-24 17:43:31,1.842
2021-05-24 17:43:32,1.842
2021-05-24 18:01:15,1.872
2021-05-24 18:23:12,1.911
2021-05-24 18:49:04,1.954
2021-05-24 18:49:05,1.954
2021-05-24 19:02:30,1.979
2021-05-24 19:21:15,2.012
2021-05-24 19:45:39,2.055
2021-05-24 20:08:12,2.086
2021-05-24 20:08:13,2.086
2021-05-24 20:28:46,2.086
2021-05-24 20:43:13,2.086
2021-05-24 21:02:31,2.086
2021-05-24 21:24:27,2.086
2021-05-24 21:44:10,2.086
2021-05-24 22:06:15,2.086
2021-05-24 22:06:16,2.086
2021-05-24 22:21:15,2.086
2021-05-24 22:49:28,2.086
2021-05-24 23:09:24,2.086
2021-05-24 23:25:06,2.086
2021-05-24 23:45:01,2.086
2021-05-25 00:09:47,2.086
2021-05-25 00:28:13,2.086
2021-05-25 00:47:36,2.086
2021-05-25 01:04:42,2.086
2021-05-25 01:21:21,2.086
2021-05-25 01:41:58,2.086
2021-05-25 02:04:24,2.086
2021-05-25 02:27:55,2.086
2021-05-25 02:43:09,2.086
2021-05-25 03:09:28,2.102
2021-05-25 03:27:36,2.134
2021-05-25 03:49:42,2.17
2021-05-25 04:14:38,2.215
2021-05-25 04:15:02,2.216
2021-05-25 04:29:55,2.242
2021-05-25 04:45:00,2.269
2021-05-25 04:59:55,2.295
2021-05-25 05:15:00,2.32
2021-05-25 05:29:27,2.342
2021-05-25 05:44:36,2.366
2021-05-25 05:59:33,2.389
2021-05-25 06:14:26,2.413
2021-05-25 06:14:57,2.414
2021-05-25 06:29:39,2.438
2021-05-25 06:44:09,2.462
